threshold,m2,macro_f2,precision_pos,recall_pos,fn,fp,positive_rate
0.51,0.6981984843435483,0.8141893179545967,0.9,0.8145695364238411,84,41,0.5942028985507246
0.52,0.6953910085860486,0.8129259538637219,0.8997555012224939,0.8123620309050773,85,41,0.5927536231884057
0.53,0.699550868257058,0.8147978907156761,0.9057071960297767,0.8057395143487859,88,38,0.5840579710144927
0.54,0.6966028854764008,0.8134712984643804,0.9093198992443325,0.7969094922737306,92,36,0.5753623188405798
0.55,0.6837558319165948,0.8076901243624677,0.9102564102564102,0.7836644591611479,98,35,0.5652173913043478
0.56,0.6765249266323611,0.8044362169845625,0.9116883116883117,0.7748344370860927,102,34,0.5579710144927537
0.57,0.663550047111691,0.798597521200261,0.9126984126984127,0.7615894039735099,108,33,0.5478260869565217
0.58,0.6647876505796235,0.7991544427608306,0.9148936170212766,0.7593818984547461,109,32,0.5449275362318841
0.59,0.6505022808047436,0.7927260263621346,0.9137466307277629,0.7483443708609272,114,32,0.5376811594202898
0.6,0.6402478176372285,0.7881115179367528,0.915068493150685,0.7373068432671082,119,31,0.5289855072463768
0.61,0.6385533154083101,0.7873489919337395,0.9171270718232044,0.7328918322295805,121,30,0.5246376811594203
0.62,0.6391122592047613,0.7876005166421426,0.923943661971831,0.7240618101545254,125,27,0.5144927536231884
0.63,0.6015366186365877,0.7706914783864645,0.9210526315789473,0.695364238410596,138,27,0.4956521739130435
0.64,0.5959685270030096,0.7681858371513544,0.9279279279279279,0.6821192052980133,144,24,0.4826086956521739
0.65,0.5892272936995038,0.7651522821647767,0.9325153374233128,0.6710816777041942,149,22,0.47246376811594204
0.66,0.5804539189816257,0.7612042635417315,0.9318885448916409,0.6644591611479028,152,22,0.4681159420289855
0.67,0.567695252783912,0.7554628637527604,0.9363057324840764,0.6490066225165563,159,20,0.45507246376811594
0.68,0.5656752602022428,0.7545538670910092,0.9389067524115756,0.6445916114790287,161,19,0.45072463768115945
0.69,0.5615712698447008,0.7527070714301154,0.9442622950819672,0.6357615894039735,165,17,0.4420289855072464
0.7,0.5506012835627017,0.7477705776032157,0.9464882943143813,0.6247240618101545,170,16,0.43333333333333335
0.71,0.5357684582221619,0.7410958061999728,0.9455782312925171,0.6136865342163356,175,16,0.4260869565217391
0.72,0.5268548495373679,0.7370846822918156,0.9450171821305842,0.6070640176600441,178,16,0.4217391304347826
0.73,0.5053395591812948,0.7274028016315827,0.9530685920577617,0.5827814569536424,189,13,0.40144927536231884
0.74,0.49479366244954515,0.7226571481022953,0.9591078066914498,0.5695364238410596,195,11,0.3898550724637681
0.75,0.4676641704943591,0.7104488767224616,0.9576923076923077,0.5496688741721855,204,11,0.37681159420289856
0.76,0.46052316074728344,0.7072354223362776,0.9681274900398407,0.5364238410596026,210,8,0.36376811594202896
0.77,0.43923032501096365,0.6976536462549336,0.9672131147540983,0.5209713024282561,217,8,0.3536231884057971
0.78,0.427603561749903,0.6924216027874563,0.9705882352941176,0.5099337748344371,222,7,0.34492753623188405
0.79,0.39748168493925473,0.6788667582226646,0.9734513274336283,0.4856512141280353,233,6,0.32753623188405795
0.8,0.36665307356641347,0.664993883104886,0.9722222222222222,0.46357615894039733,243,6,0.3130434782608696
0.81,0.34498238136453957,0.6552420716140428,0.9712918660287081,0.4481236203090508,250,6,0.30289855072463767
