id,n_condition_tokens,condition_present,condition_present_count,n_condition_tokens_matched,negation_count_total,nearest_negation_distance,neg_before_condition,neg_after_condition,neg_within_5,neg_within_10,neg_within_20,neg_within_50,condition_negated_exact,condition_affirmed,condition_negated,condition_unknown_h19
469,5,1,7,3,20,93.0,0,0,0,0,0,0,0,1,0,0
226,5,0,0,0,7,100.0,0,0,0,0,0,0,0,0,0,1
411,9,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
615,9,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
777,5,1,2,2,21,203.0,0,0,0,0,0,0,0,1,0,0
270,4,1,2,1,4,253.0,0,0,0,0,0,0,0,1,0,0
850,4,1,4,2,23,101.0,0,0,0,0,0,0,0,1,0,0
325,5,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
193,5,0,0,0,7,100.0,0,0,0,0,0,0,0,0,0,1
658,7,1,1,1,15,1856.0,0,0,0,0,0,0,0,1,0,0
307,12,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
803,3,0,0,0,2,100.0,0,0,0,0,0,0,0,0,0,1
659,5,1,1,1,15,1856.0,0,0,0,0,0,0,0,1,0,0
35,9,1,6,3,1,203.0,0,0,0,0,0,0,0,1,0,0
726,5,1,24,4,25,119.0,0,0,0,0,0,0,0,1,0,0
137,3,1,1,1,3,31.0,0,1,0,0,0,1,1,0,1,0
716,12,1,2,1,49,60.0,0,0,0,0,0,0,0,1,0,0
397,2,1,2,1,4,298.0,0,0,0,0,0,0,0,1,0,0
624,3,1,1,1,6,65.0,0,0,0,0,0,0,0,1,0,0
673,5,1,30,4,26,358.0,0,0,0,0,0,0,0,1,0,0
639,9,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
574,5,1,2,2,5,203.0,0,0,0,0,0,0,0,1,0,0
625,2,1,1,1,6,65.0,0,0,0,0,0,0,0,1,0,0
199,12,0,0,0,7,100.0,0,0,0,0,0,0,0,0,0,1
705,6,1,3,2,3,1.0,1,1,1,1,1,1,1,0,1,0
161,3,1,6,1,3,4.0,0,1,1,1,1,1,1,0,1,0
690,5,1,4,3,1,246.0,0,0,0,0,0,0,0,1,0,0
93,4,1,1,1,2,419.0,0,0,0,0,0,0,0,1,0,0
342,5,1,4,2,1,271.0,0,0,0,0,0,0,0,1,0,0
169,3,1,4,1,3,4.0,0,1,1,1,1,1,1,0,1,0
510,5,1,3,2,9,112.0,0,0,0,0,0,0,0,1,0,0
548,4,1,2,2,54,8.0,1,0,0,1,1,1,1,0,1,0
730,3,0,0,0,13,100.0,0,0,0,0,0,0,0,0,0,1
449,6,1,1,1,2,1.0,0,1,1,1,1,1,1,0,1,0
187,15,1,2,1,7,373.0,0,0,0,0,0,0,0,1,0,0
186,6,0,0,0,7,100.0,0,0,0,0,0,0,0,0,0,1
419,5,1,4,2,12,11.0,1,0,0,0,1,1,1,0,1,0
356,6,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
678,7,1,6,2,6,6.0,1,1,0,1,1,1,1,0,1,0
324,4,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
830,2,1,1,1,3,314.0,0,0,0,0,0,0,0,1,0,0
675,2,1,1,1,5,70.0,0,0,0,0,0,0,0,1,0,0
31,15,1,12,5,1,203.0,0,0,0,0,0,0,0,1,0,0
629,4,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
473,3,1,1,1,4,63.0,0,0,0,0,0,0,0,1,0,0
542,9,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
1,5,1,4,2,2,15.0,1,0,0,0,1,1,1,0,1,0
534,5,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
407,15,1,2,2,119,28.0,1,0,0,0,0,1,1,0,1,0
839,6,1,1,1,19,162.0,0,0,0,0,0,0,0,1,0,0
713,6,1,2,1,49,60.0,0,0,0,0,0,0,0,1,0,0
547,6,1,2,2,54,8.0,1,0,0,1,1,1,1,0,1,0
282,12,1,1,1,20,69.0,0,0,0,0,0,0,0,1,0,0
153,5,1,6,1,3,4.0,0,1,1,1,1,1,1,0,1,0
122,6,1,3,1,5,46.0,0,1,0,0,0,1,0,1,0,0
185,5,0,0,0,7,100.0,0,0,0,0,0,0,0,0,0,1
420,3,0,0,0,23,100.0,0,0,0,0,0,0,0,0,0,1
21,12,1,5,3,1,203.0,0,0,0,0,0,0,0,1,0,0
395,3,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,1
631,5,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
425,7,0,0,0,12,100.0,0,0,0,0,0,0,0,0,0,1
367,4,1,4,2,6,13.0,1,0,0,0,1,1,1,0,1,0
487,3,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,1
674,3,1,1,1,5,70.0,0,0,0,0,0,0,0,1,0,0
708,4,1,2,1,49,60.0,0,0,0,0,0,0,0,1,0,0
756,3,1,2,1,5,106.0,0,0,0,0,0,0,0,1,0,0
648,5,1,2,1,31,47.0,1,0,0,0,0,1,0,1,0,0
472,2,1,1,1,4,63.0,0,0,0,0,0,0,0,1,0,0
408,12,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
789,6,1,1,1,124,129.0,0,0,0,0,0,0,0,1,0,0
257,12,1,2,1,49,60.0,0,0,0,0,0,0,0,1,0,0
296,3,1,1,1,4,280.0,0,0,0,0,0,0,0,1,0,0
556,7,1,2,1,31,147.0,0,0,0,0,0,0,0,1,0,0
780,2,1,2,1,26,94.0,0,0,0,0,0,0,0,1,0,0
858,6,1,2,2,3,71.0,0,0,0,0,0,0,0,1,0,0
854,2,1,1,1,5,322.0,0,0,0,0,0,0,0,1,0,0
682,7,1,7,3,49,60.0,0,0,0,0,0,0,0,1,0,0
183,5,0,0,0,7,100.0,0,0,0,0,0,0,0,0,0,1
