threshold,macro_f2,macro_f1,accuracy,m2,tn,fp,fn,tp
0.69,0.7569245910941973,0.7370070470253421,0.7391304347826086,0.5709435357648829,224,13,167,286
0.7,0.7515758732106326,0.7314357273404184,0.7333333333333333,0.559057496023628,224,13,171,282
0.71,0.7381678186660914,0.7174733429577287,0.7188405797101449,0.5292618192579809,224,13,181,272
0.72,0.7327896863637468,0.7118718418100067,0.7130434782608696,0.5173104141416595,224,13,185,268
0.73,0.7196296521205283,0.6979009674241594,0.6985507246376812,0.48806589360117403,225,12,196,257
0.74,0.7025718144904192,0.6795587076438141,0.6797101449275362,0.450159587756487,227,10,211,242
0.75,0.688894476637939,0.6651998109541564,0.6652173913043479,0.4197655036398645,227,10,221,232
0.76,0.6797771160977157,0.6550463803186126,0.6550724637681159,0.3995047024393683,229,8,230,223
0.77,0.6714893368646078,0.6462698232609737,0.6463768115942029,0.3810874152546839,229,8,236,217
0.78,0.6691628594002268,0.6432354721549637,0.6434782608695652,0.3759174653338373,231,6,240,213
0.79,0.6526381998649996,0.6252810076703517,0.6260869565217392,0.3391959996999991,232,5,253,200
0.8,0.6400179448640942,0.6116723824298773,0.6130434782608696,0.3111509885868761,232,5,262,191
0.81,0.6230979841388417,0.5932523542598529,0.5956521739130435,0.27355107586409255,232,5,274,179
0.82,0.6090332482506712,0.5774092715231788,0.5811594202898551,0.24229610722371372,233,4,285,168
0.83,0.5990427595556641,0.5662920775679738,0.5710144927536231,0.22009502123480912,233,4,292,161
0.84,0.5875763736977849,0.5534170747285501,0.5594202898550724,0.1946141637728554,233,4,300,153
0.85,0.5673814676372222,0.5304153540610875,0.5391304347826087,0.14973659474938264,233,4,314,139
0.86,0.5586749247722316,0.5203604376743188,0.5304347826086957,0.13038872171607016,233,4,320,133
0.87,0.542630063721395,0.5015945094538563,0.5144927536231884,0.09473347493643332,233,4,331,122
0.88,0.5323625582940615,0.4894152876826144,0.5043478260869565,0.07191679620902564,233,4,338,115
0.89,0.5220313427875631,0.47646699465835896,0.49420289855072463,0.04895853952791808,234,3,346,107
0.9,0.5086383031245186,0.45954106280193235,0.4811594202898551,0.01919622916559696,235,2,356,97
